"pathway","ENTREZID","SYMBOL","GENENAME"
"KEGG_Oxidative_Phosphorylation","4720","NDUFS2","NADH:ubiquinone oxidoreductase core subunit S2"
"KEGG_Oxidative_Phosphorylation","8992","ATP6V0E1","ATPase H+ transporting V0 subunit e1"
"KEGG_Oxidative_Phosphorylation","4722","NDUFS3","NADH:ubiquinone oxidoreductase core subunit S3"
"KEGG_Oxidative_Phosphorylation","4713","NDUFB7","NADH:ubiquinone oxidoreductase subunit B7"
"KEGG_Oxidative_Phosphorylation","1329","COX5B","cytochrome c oxidase subunit 5B"
"KEGG_Oxidative_Phosphorylation","126328","NDUFA11","NADH:ubiquinone oxidoreductase subunit A11"
"KEGG_Oxidative_Phosphorylation","374291","NDUFS7","NADH:ubiquinone oxidoreductase core subunit S7"
"KEGG_Oxidative_Phosphorylation","27089","UQCRQ","ubiquinol-cytochrome c reductase complex III subunit VII"
"KEGG_Oxidative_Phosphorylation","513","ATP5F1D","ATP synthase F1 subunit delta"
"KEGG_Oxidative_Phosphorylation","7384","UQCRC1","ubiquinol-cytochrome c reductase core protein 1"
"KEGG_Oxidative_Phosphorylation","1351","COX8A","cytochrome c oxidase subunit 8A"
"KEGG_Oxidative_Phosphorylation","4728","NDUFS8","NADH:ubiquinone oxidoreductase core subunit S8"
"KEGG_Oxidative_Phosphorylation","9296","ATP6V1F","ATPase H+ transporting V1 subunit F"
"KEGG_Oxidative_Phosphorylation","4723","NDUFV1","NADH:ubiquinone oxidoreductase core subunit V1"
"KEGG_Oxidative_Phosphorylation","518","ATP5MC3","ATP synthase membrane subunit c locus 3"
"KEGG_Oxidative_Phosphorylation","10632","ATP5MG","ATP synthase membrane subunit g"
"KEGG_Oxidative_Phosphorylation","4694","NDUFA1","NADH:ubiquinone oxidoreductase subunit A1"
"KEGG_Oxidative_Phosphorylation","29796","UQCR10","ubiquinol-cytochrome c reductase, complex III subunit X"
"KEGG_Oxidative_Phosphorylation","506","ATP5F1B","ATP synthase F1 subunit beta"
"KEGG_Oxidative_Phosphorylation","4726","NDUFS6","NADH:ubiquinone oxidoreductase subunit S6"
"KEGG_Oxidative_Phosphorylation","9377","COX5A","cytochrome c oxidase subunit 5A"
"KEGG_Oxidative_Phosphorylation","4712","NDUFB6","NADH:ubiquinone oxidoreductase subunit B6"
"KEGG_Oxidative_Phosphorylation","4717","NDUFC1","NADH:ubiquinone oxidoreductase subunit C1"
"KEGG_Oxidative_Phosphorylation","1352","COX10","cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10"
"KEGG_Oxidative_Phosphorylation","522","ATP5PF","ATP synthase peripheral stalk subunit F6"
"KEGG_Oxidative_Phosphorylation","4705","NDUFA10","NADH:ubiquinone oxidoreductase subunit A10"
"KEGG_Oxidative_Phosphorylation","10476","ATP5PD","ATP synthase peripheral stalk subunit d"
"KEGG_Oxidative_Phosphorylation","521","ATP5ME","ATP synthase membrane subunit e"
"KEGG_Oxidative_Phosphorylation","1337","COX6A1","cytochrome c oxidase subunit 6A1"
"KEGG_Oxidative_Phosphorylation","1327","COX4I1","cytochrome c oxidase subunit 4I1"
"KEGG_Oxidative_Phosphorylation","4696","NDUFA3","NADH:ubiquinone oxidoreductase subunit A3"
"KEGG_Oxidative_Phosphorylation","9551","ATP5MF","ATP synthase membrane subunit f"
"KEGG_Oxidative_Phosphorylation","4697","COXFA4","cytochrome c oxidase associated subunit FA4"
"KEGG_Oxidative_Phosphorylation","4700","NDUFA6","NADH:ubiquinone oxidoreductase subunit A6"
"KEGG_Oxidative_Phosphorylation","4731","NDUFV3","NADH:ubiquinone oxidoreductase subunit V3"
"KEGG_Oxidative_Phosphorylation","516","ATP5MC1","ATP synthase membrane subunit c locus 1"
"KEGG_Oxidative_Phosphorylation","10975","UQCR11","ubiquinol-cytochrome c reductase, complex III subunit XI"
"KEGG_Oxidative_Phosphorylation","4716","NDUFB10","NADH:ubiquinone oxidoreductase subunit B10"
"KEGG_Oxidative_Phosphorylation","6390","SDHB","succinate dehydrogenase complex iron sulfur subunit B"
"KEGG_Oxidative_Phosphorylation","9114","ATP6V0D1","ATPase H+ transporting V0 subunit d1"
"KEGG_Oxidative_Phosphorylation","4706","NDUFAB1","NADH:ubiquinone oxidoreductase subunit AB1"
"KEGG_Oxidative_Phosphorylation","1340","COX6B1","cytochrome c oxidase subunit 6B1"
"KEGG_Oxidative_Phosphorylation","7386","UQCRFS1","ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1"
"KEGG_Oxidative_Phosphorylation","514","ATP5F1E","ATP synthase F1 subunit epsilon"
"KEGG_Oxidative_Phosphorylation","155066","ATP6V0E2","ATPase H+ transporting V0 subunit e2"
